11	"Plutarchi Chaeronensis Moralia Vol VII Plutarchi Fragmenta Vera Et Spuria Multis Accesionibus Locupletata Continens"
11	"Q. Aurelii Symmachi Quae supersunt"
11	"The Loeb classical library. [Latin authors]"
11	"Xenophon Memorabilia, Oeconomicus Symposium, Apology"
11	"اختلاف الحديث"
10	"Appian's Roman history Vol II Books VIII-Book XII"
10	"Arriani Nicomediensis Scripta Minora"
10	"Bibliotheca scriptorum graecorum et romanorum Teubneriana. [S. g.]"
10	"Bibliotheca scriptorum graecorum et romanorum Teubneriana. [S. r.]"
10	"Demosthenes With an English translation Vol 6 Private Orations Volume 3 Orationes L-LVIII, in Neaeram LIX"
10	"Erotici scriptores Graeci Vol I"
10	"Erotikon logon syngrapheis Tomus Prior"
10	"Euripidis Tragoediae Volumen I"
10	"His Opera, 1 [from old catalog]"
10	"Isocrates With an English Translation. Vol II"
10	"Metrologicorum scriptorum reliquiae Quo scriptores Graeci continentur Vol I"
10	"Olynthiacs, Philippics minor public speeches, speech against Leptines"
10	"Orationes Volume II"
10	"Pindari Carmina cum fragmentis"
10	"Plautus Vol I"
10	"Plautus Volume II"
10	"Plautus Volume V"
10	"Quinti Septimi Florentis Tertulliani opera Pars I"
10	"Rhetorica Tomus II"
10	"Sallust, Florus, and Velleius Paterculus"
10	"Sanctii Ambrosii Opera Pars Altera"
10	"Selected orations and letters of Cicero to which is added the Catiline of Sallust"
10	"Selections from Latin Classic Authors Phædrus, Justin, Nepos"
10	"Seneca's Tragedies with an English translation Volume I"
10	"Seneca's Tragedies with an English translation Volume II"
10	"Speeches. Selections"
10	"The Greek anthology Vol IV"
10	"The Loeb classical library. [Greek authors] No. 229"
10	"The complete works of Horace the original text reduced to the natural English order, with a literal interlinear translation"
10	"The complete works of Tacitus The annals. The history. The life of Cnaeus Julius Agricola. Germany and its tribes. A dialogue on oratory"
10	"Virgil and other Latin poets"
10	"Works Vol 3"
10	"تفسير ابن سلام :::: تفسير القرآن"
10	"تفسير القرآن :::: تفسير عبد الرزاق"
10	"جامع ابن وهب :::: جامع الحديث"
9	"Aeneas Tacticus, Asclepiodotus, Onasander"
9	"Anthologia Latina"
9	"Biological writings: Greek and German"
9	"Biologische Schriften: griechisch und deutsch"
9	"Claudii Ptolemaei Opera quae exstant omnia Volumen II Opera Astronomica Minora"
9	"Clement of Alexandria"
9	"Demosthenes With an English translation Vol 5 Private Orations Volume 2 Orations XLI - XLIX"
9	"Epicurea"
9	"Euclidis Opera omnia Vol VII"
9	"Euripidis Tragoediae Volumen II"
9	"Hesiodi quae feruntur Carmina ad optimorum codicum fidem recensuit Ioannes Flach"
9	"Itinera hierosolymitana saecvli IIII-VIII"
9	"LCL 135"
9	"LCL 156"
9	"LCL 321"
9	"Sophocles with an English translation Vol 1"
9	"The Loeb classical library 135"
9	"The genuine works of Hippocrates"
9	"Vitae Vergilianae"
9	"الزهد والرقائق"
8	"Ab urbe condita. English &amp; Latin"
8	"Aliorumque carminum libri tres"
8	"Annaei Senecae Oratorum et rhetorum sententiae divisiones colores"
8	"Aretaiou Kappadokou ta sōzomena The extant works of Aretaeus, the Cappadocian"
8	"Aristophanes with the English translation of Benjamin Bickley Rogers Volume 1"
8	"Aristophanes with the English translation of Benjamin Bickley Rogers Volume 3"
8	"Aristophanis Comoediae Vol 1"
8	"Aristophanis Comoediae Vol 2"
8	"Cicero's Selected Orations"
8	"Cicero. Selections. English &amp; Latin."
8	"Daphnis &amp; Chloe The Love Romances of Parthenius"
8	"De oratore: in two Volumes Vol II De Fato; Paradoxa Stoicorum; De Partione Oratoria"
8	"Demosthenes With an English translation Vol 1 Vol 1: Orationes I-XVII, XX"
8	"Dionysius Periegetes graece et latine"
8	"Diophanti Alexandrini Opera omnia cum graecis commentariis Volume II"
8	"Enchiridion"
8	"Epistolae. Latin. Selections."
8	"Epistulae Volume III"
8	"Euporiston libri III"
8	"Euripidis Fabulae Tomus I"
8	"Fabulae Tomus I"
8	"Fragmenta historicorum graecorum Vol V Pars Prior"
8	"Hephaestionis Enchiridion Accedunt variae metricorum graecorum reliquiae"
8	"Heronis Alexandrini Geometricorum et Stereometricorum reliquiae accedunt Didymi Alexandrini Mensurae marmorum et anonymi variae collectiones ex Herone, Euclide, Gemino, Proclo, Anatolio aliisque"
8	"LCL 404"
8	"Lex Manilia de imperio Cn. Pompei"
8	"Lives of the Caesars Books I-Book IV"
8	"Livy in fourteen volumes Vol XIV Summaries, Fragments and Obsequens"
8	"Lucian Vol VII"
8	"Mediaeval Latin German Latin Lyricists"
8	"Opera philosopha et politica"
8	"Opera quae supersunt omnia Vol 2-Fasc I Mechanica et Catoptrica"
8	"Oratorum romanorum fragmenta ab Appio inde Caeco et M. Porcio Catone usque ad Q. Aurelium Symmachum"
8	"Periēgēsis. Latin and Greek"
8	"Plato with an English Translation Volume 8 Charmides, Alcibiades I and II, Hipparchus, the Lovers, Theages, Minos, Epinomis"
8	"Platonis Opera Tomvs I Tetralogia I-II"
8	"Plautus Volume III"
8	"Plutarch's Moralia Vol XIV 1086C-1147A"
8	"Plutarchi Moralia Vol. 6-Part I"
8	"Poetae latini minores Volume IV Anthologia Latina XII Sapientes- XII-Polysticha"
8	"Q. Aurelii Symmachi v.c. Octo orationvm ineditarvm partes"
